Collect Gold;;;collect_gold_01;sfx/coins_collect_01.wav;90;100;100;sfx/coins_collect_01.wav;90;100;100
Collect Elixir;;;Collect_Elixir_01;sfx/elixir_collect_02.wav;90;100;100;sfx/elixir_collect_02.wav;90;100;100
Collect Diamonds;;;;sfx/collect_diamonds_01.wav;80;100;100;sfx/collect_diamonds_01.wav;80;100;100
Steal Gold;;;;sfx/coin_steal_02.wav;80;100;100;sfx/coin_steal_02.wav;80;100;100
Steal Elixir;;;;sfx/elixir_steal_03.wav;80;100;100;sfx/elixir_steal_03.wav;80;100;100
XP Gain;;;;sfx/xp_gain_06.wav;90;100;100;sfx/xp_gain_06.wav;90;100;100
XP Level Up;;;;sfx/xp_level_up_01.wav;100;100;100;sfx/xp_gain_06.wav;100;100;100
Alliance;;;;sfx/alliance_jingle_v2.wav;100;75;75;sfx/xp_gain_06.wav;100;100;100
Building Ready;;;;sfx/building_finished_01.wav;100;100;100;sfx/xp_gain_06.wav;100;100;100
Building Destroyed;;;;sfx/building_destroyed_01.wav;100;85;95;sfx/building_destroyed_01.wav;100;85;95
Elixir Storage Destroyed;;;;sfx/building_destroyed_01.wav;100;85;95;sfx/building_destroyed_01.wav;100;85;95
Start Building;;;;sfx/building_construct_07.wav;100;100;100;sfx/building_construct_07.wav;100;100;100
NoRoomForTroop;;;;;;;;;;;
TrainingFinished;;;;sfx/training_finished_03.wav;100;100;100;sfx/training_finished_03.wav;100;100;100
Sell Item;;;;sfx/sell_item_01.wav;70;100;100;sfx/sell_item_01.wav;70;100;100
Moving;;;;sfx/moving_07.wav;60;110;115;sfx/moving_07.wav;60;110;115
Illegal Position;;;;sfx/bad_move_06.wav;60;100;100;sfx/bad_move_06.wav;60;100;100
Clear Tombstone;;;;sfx/clear_tombstone_01.wav;80;100;100;;;;
Generic Pick Up;;;;sfx/wall_pickup_01.wav;50;100;100;sfx/wall_pickup_01.wav;50;100;100
Generic Placing;;;;sfx/cannon_drop2.wav;50;100;100;sfx/cannon_drop2.wav;50;100;100
Generic Hit;;;;sfx/barbarian_hit_stuff.wav;65;100;100;sfx/barbarian_hit_stuff.wav;65;100;100
Trap Eject;;;;sfx/trap_eject_01v2.wav;100;100;100;sfx/trap_eject_01v2.wav;100;100;100
exBomb Exposion;;;;sfx/explosion_02.wav;100;100;100;sfx/explosion_02.wav;100;100;100
IsoTestFX;;;;sfx/explosion_02.wav;100;100;100;sfx/explosion_02.wav;100;100;100
Barbarian Deploy;;;;sfx/barb_deploy_11.wav;50;100;100;sfx/gob_attack_01.wav;50;100;100
Archer Deploy;;;;sfx/archer_deploy_09.wav;80;100;100;sfx/gob_attack_01.wav;80;100;100
Giant Deploy;;;;sfx/giant_deploy_04.wav;90;100;100;sfx/gob_attack_01.wav;90;100;100
Dragon Deploy;;;;sfx/dragon_deploy_01.wav;100;100;100;sfx/gob_attack_01.wav;100;100;100
Goblin Deploy;;;;sfx/goblin_deploy_14.wav;70;100;100;sfx/gob_attack_01.wav;70;100;100
Wall Breaker Deploy;;;;sfx/deploy_skeleton_07.wav;100;100;100;sfx/gob_attack_01.wav;100;100;100
Balloon Goblin Deploy;;;;sfx/balloon_deploy_02.wav;100;100;100;sfx/gob_attack_01.wav;100;100;100
Healer Deploy;;;;sfx/healer_deploy_01.wav;100;100;100;sfx/gob_attack_01.wav;100;100;100
Wizard Deploy;;;;sfx/mage_deploy_06.wav;65;100;100;sfx/gob_attack_01.wav;100;100;100
Barbarian Attack;;;;sfx/barbarian_sword_swing_hit_14.wav;50;90;110;sfx/barbarian_sword_swing_hit_14.wav;50;90;110
Archer Attack;;;;sfx/arrow_hit_07.wav;80;90;110;sfx/arrow_hit_07.wav;80;90;110
Giant Attack;;;;sfx/giant_attack_06.wav;90;90;110;sfx/giant_attack_06.wav;90;90;110
Dragon Attack;;;;sfx/dragon_attack_01.wav;100;95;105;sfx/dragon_attack_01.wav;100;95;105
Goblin Attack;;;;sfx/gob_attack_01.wav;80;90;110;sfx/gob_attack_01.wav;80;90;110
Wall Breaker Attack;;;;sfx/wall_breaker_attack_01.wav;100;95;105;sfx/wall_breaker_attack_01.wav;100;95;105
Balloon Goblin Attack;;;;sfx/cannon_fire3.wav;80;90;110;sfx/mortar_hit_01.wav;50;150;150
Healer Attack;;;;sfx/healer_attack_01.wav;80;95;105;sfx/healer_attack_01.wav;80;95;105
Wizard Attack;;;;sfx/mage_attack_02.wav;80;90;100;sfx/mage_attack_02.wav;80;90;100
Wizard Attack2;;;;sfx/mage_attack_02.wav;80;90;100;sfx/mage_attack_02.wav;80;90;100
Barbarian Hit;;;;sfx/barbarian_hit_stuff2.wav;60;90;110;sfx/barbarian_hit_stuff2.wav;60;90;110
Archer Hit;;;;sfx/arrow_hit_12.wav;60;90;110;sfx/arrow_hit_12.wav;60;90;110
Giant Hit;;;;sfx/giant_attack_hit_01.wav;80;90;110;sfx/giant_attack_hit_01.wav;80;90;110
Dragon Hit;;;;;;;;;;;
Goblin Hit;;;;;;;;;;;
Wall Breaker Hit;;;;sfx/cannon_fire3.wav;80;90;110;sfx/mortar_hit_01.wav;70;120;130
Balloon Goblin Hit;;;;sfx/balloon_hit_01.wav;;;;sfx/balloon_hit_01.wav;;;
Healer Hit;;;;sfx/healer_hit_02.wav;60;100;100;sfx/healer_hit_01.wav;;;
Wizard Hit1;;;;sfx/wizard_hit_01.wav;;;;sfx/wizard_hit_01.wav;;;
Wizard Hit2;;;;sfx/wizard_hit_01.wav;;;;sfx/wizard_hit_01.wav;;;
Barbarian Die;;;;sfx/barbarian_death_01.wav;70;100;110;sfx/barbarian_death_01.wav;70;100;110
Archer Die;;;;sfx/archer_death_05.wav;60;95;105;sfx/archer_death_05.wav;60;95;105
Giant Die;;;;sfx/giant_death_02.wav;100;90;110;sfx/barbarian_death_01.wav;80;65;70
Dragon Die;;;;sfx/dragon_die_01.wav;100;95;105;sfx/dragon_die_01.wav;100;95;105
Goblin Die;;;;sfx/goblin_death_02.wav;80;95;110;sfx/goblin_death_02.wav;100;95;110
Wall Breaker Die;;;;sfx/wall_breaker_die_01.wav;;;;sfx/wall_breaker_die_01.wav;;;
Balloon Goblin Die;;;;sfx/balloon_die_01.wav;;;;sfx/mage_attack_02.wav;90;70;80
Healer Die;;;;sfx/healer_die_01.wav;100;95;105;sfx/archer_death_05.wav;90;110;120
