101;1;1;LighningStorm;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;1;1;Gold;15000;1;7200;800;1000;1100;25;24;Elixir;200000;0;0;0;-1;-1;-1;50;200;6;350;400;sc/ui.sc;icon_spell_lightning;icon_spell_lightning;Lightning predeploy;Lightning area;NULL;Lightning Spell;Lightning Spell Hit;FALSE;
102;1;2;LighningStorm;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;-1;1;Gold;16500;1;7200;800;1000;1100;25;48;Elixir;500000;0;0;0;-1;-1;-1;55;200;6;350;400;sc/ui.sc;icon_spell_lightning2;icon_spell_lightning;Lightning predeploy;Lightning area;NULL;Lightning Spell;Lightning Spell Hit;FALSE;
103;1;3;LighningStorm;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;-1;2;Gold;18000;1;7200;800;1000;1100;25;72;Elixir;1000000;0;0;0;-1;-1;-1;60;200;6;350;400;sc/ui.sc;icon_spell_lightning3;icon_spell_lightning;Lightning predeploy;Lightning area;NULL;Lightning Spell;Lightning Spell Hit;FALSE;
104;1;4;LighningStorm;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;-1;3;Gold;20000;1;7200;800;1000;1100;25;96;Elixir;2000000;0;0;0;-1;-1;-1;65;200;6;350;400;sc/ui.sc;icon_spell_lightning4;icon_spell_lightning;Lightning predeploy;Lightning area;NULL;Lightning Spell;Lightning Spell Hit;FALSE;
105;1;5;LighningStorm;TID_LIGHTNING_STORM;TID_LIGHTNING_STORM_INFO;-1;6;Gold;22000;1;7200;800;1000;1100;25;-1;Elixir;-1;0;0;0;-1;-1;-1;70;200;6;350;400;sc/ui.sc;icon_spell_lightning5;icon_spell_lightning;Lightning predeploy;Lightning area;NULL;Lightning Spell;Lightning Spell Hit;FALSE;
201;2;1;HealingWave;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;2;2;Gold;20000;1;10800;800;300;400;25;24;Elixir;300000;0;0;0;-1;-1;-1;-10;350;40;200;300;sc/ui.sc;icon_spell_healing;icon_spell_healing;Heal predeploy;Heal area;Heal area top;NULL;Heal spell;TRUE;
202;2;2;HealingWave;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;-1;2;Gold;22000;1;10800;800;300;400;25;48;Elixir;600000;0;0;0;-1;-1;-1;-15;350;40;200;300;sc/ui.sc;icon_spell_healing2;icon_spell_healing;Heal predeploy;Heal area;Heal area top;NULL;Heal spell;TRUE;
203;2;3;HealingWave;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;-1;4;Gold;24000;1;10800;800;300;400;25;72;Elixir;1200000;0;0;0;-1;-1;-1;-20;350;40;200;300;sc/ui.sc;icon_spell_healing3;icon_spell_healing;Heal predeploy;Heal area;Heal area top;NULL;Heal spell;TRUE;
204;2;4;HealingWave;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;-1;5;Gold;26500;1;10800;800;300;400;25;120;Elixir;2400000;0;0;0;-1;-1;-1;-25;350;40;200;300;sc/ui.sc;icon_spell_healing4;icon_spell_healing;Heal predeploy;Heal area;Heal area top;NULL;Heal spell;TRUE;
205;2;5;HealingWave;TID_HEALING_WAVE;TID_HEALING_WAVE_INFO;-1;6;Gold;29000;1;10800;800;300;400;25;-1;Elixir;-1;0;0;0;-1;-1;-1;-30;350;40;200;300;sc/ui.sc;icon_spell_healing5;icon_spell_healing;Heal predeploy;Heal area;Heal area top;NULL;Heal spell;TRUE;
301;3;1;Haste;TID_HASTE;TID_HASTE_INFO;3;3;Gold;30000;1;14400;800;300;400;25;48;Elixir;450000;1000;20;10;-1;-1;130;0;500;60;400;300;sc/ui.sc;icon_spell_rage;icon_spell_rage;Rage predeploy;Rage deploy;Rage deploy top;NULL;NULL;TRUE;
302;3;2;Haste;TID_HASTE;TID_HASTE_INFO;-1;3;Gold;33000;1;14400;800;300;400;25;72;Elixir;900000;1000;22;11;-1;-1;140;0;500;60;400;300;sc/ui.sc;icon_spell_rage2;icon_spell_rage;Rage predeploy;Rage deploy;Rage deploy top;NULL;NULL;TRUE;
303;3;3;Haste;TID_HASTE;TID_HASTE_INFO;-1;4;Gold;36000;1;14400;800;300;400;25;120;Elixir;1800000;1000;24;12;-1;-1;150;0;500;60;400;300;sc/ui.sc;icon_spell_rage3;icon_spell_rage;Rage predeploy;Rage deploy;Rage deploy top;NULL;NULL;TRUE;
